contig_id,cluster_id
NODE_58_length_16716_cov_2.971970.concoct_part_0,4
NODE_59_length_16534_cov_2.797621.concoct_part_0,10
NODE_60_length_16351_cov_5.041851.concoct_part_0,27
NODE_61_length_16313_cov_3.386025.concoct_part_0,27
NODE_62_length_16304_cov_8.759431.concoct_part_0,28
NODE_63_length_16171_cov_10.999255.concoct_part_0,27
NODE_64_length_16069_cov_4.895279.concoct_part_0,25
NODE_65_length_15878_cov_3.283322.concoct_part_0,4
NODE_66_length_15757_cov_2.984078.concoct_part_0,27
NODE_67_length_15692_cov_2.603441.concoct_part_0,28
NODE_68_length_15636_cov_2.879276.concoct_part_0,10
NODE_69_length_15537_cov_2.782909.concoct_part_0,4
NODE_70_length_15485_cov_6.943292.concoct_part_0,28
NODE_71_length_15451_cov_4.540270.concoct_part_0,27
NODE_72_length_15385_cov_3.271885.concoct_part_0,27
NODE_73_length_15384_cov_2.945854.concoct_part_0,4
NODE_74_length_15322_cov_3.048012.concoct_part_0,28
NODE_75_length_15040_cov_4.497364.concoct_part_0,27
NODE_76_length_14980_cov_2.991089.concoct_part_0,10
NODE_77_length_14939_cov_3.163464.concoct_part_0,27
NODE_78_length_14923_cov_5.600619.concoct_part_0,28
NODE_79_length_14868_cov_3.108148.concoct_part_0,27
NODE_80_length_14801_cov_4.222772.concoct_part_0,27
NODE_81_length_14743_cov_3.053241.concoct_part_0,27
NODE_82_length_14685_cov_3.865482.concoct_part_0,27
NODE_83_length_14626_cov_2.929586.concoct_part_0,4
NODE_84_length_14527_cov_2.906440.concoct_part_0,28
NODE_85_length_14369_cov_3.470588.concoct_part_0,27
NODE_86_length_14357_cov_3.529367.concoct_part_0,27
NODE_87_length_14244_cov_3.113116.concoct_part_0,10
NODE_88_length_14141_cov_3.740097.concoct_part_0,28
NODE_89_length_14139_cov_3.500923.concoct_part_0,27
NODE_90_length_14084_cov_2.800984.concoct_part_0,10
NODE_91_length_14071_cov_8.251356.concoct_part_0,27
NODE_92_length_13894_cov_5.252186.concoct_part_0,27
NODE_93_length_13809_cov_3.540715.concoct_part_0,27
NODE_94_length_13794_cov_3.539777.concoct_part_0,27
NODE_95_length_13637_cov_2.816522.concoct_part_0,10
NODE_96_length_13596_cov_3.117126.concoct_part_0,27
NODE_97_length_13350_cov_3.070026.concoct_part_0,4
NODE_98_length_13334_cov_3.296257.concoct_part_0,4
NODE_99_length_13269_cov_2.776374.concoct_part_0,4
NODE_100_length_13194_cov_3.299110.concoct_part_0,27
NODE_101_length_12954_cov_3.552368.concoct_part_0,27
NODE_102_length_12791_cov_2.747252.concoct_part_0,4
NODE_103_length_12777_cov_3.199183.concoct_part_0,27
NODE_104_length_12772_cov_2.795235.concoct_part_0,10
NODE_105_length_12698_cov_3.485407.concoct_part_0,27
NODE_106_length_12530_cov_3.572505.concoct_part_0,27
NODE_107_length_12510_cov_3.386351.concoct_part_0,27
NODE_108_length_12476_cov_2.881088.concoct_part_0,4
NODE_109_length_12463_cov_2.708897.concoct_part_0,10
NODE_110_length_12337_cov_6.303696.concoct_part_0,18
NODE_111_length_12198_cov_5.345796.concoct_part_0,27
NODE_112_length_12174_cov_3.124680.concoct_part_0,4
NODE_113_length_12161_cov_4.457790.concoct_part_0,27
NODE_114_length_12128_cov_3.555703.concoct_part_0,27
NODE_115_length_12121_cov_2.701641.concoct_part_0,10
NODE_116_length_12113_cov_3.218942.concoct_part_0,10
NODE_117_length_12060_cov_3.026156.concoct_part_0,27
NODE_118_length_12051_cov_3.573358.concoct_part_0,27
NODE_119_length_12048_cov_3.379471.concoct_part_0,27
NODE_120_length_12000_cov_4.227292.concoct_part_0,27
NODE_121_length_11940_cov_4.121834.concoct_part_0,28
NODE_122_length_11910_cov_3.285027.concoct_part_0,27
NODE_123_length_11889_cov_4.370965.concoct_part_0,28
NODE_124_length_11729_cov_3.025099.concoct_part_0,27
