contig_id,cluster_id
NODE_7454_length_1125_cov_2.933645,7
NODE_3523_length_1688_cov_2.327006,9
NODE_4837_length_1417_cov_2.090308,28
NODE_3685_length_1644_cov_1.246696,28
NODE_6809_length_1180_cov_1.602667,6
NODE_5368_length_1338_cov_2.294622,6
NODE_8900_length_1024_cov_34.547988,31
NODE_7589_length_1115_cov_1.864151,11
NODE_6420_length_1217_cov_1.511188,28
NODE_5577_length_1314_cov_1.915012,28
NODE_7291_length_1138_cov_16.403509,31
NODE_5228_length_1358_cov_2.998465,3
NODE_1744_length_2540_cov_3.994769,29
NODE_2296_length_2149_cov_2.007641,3
NODE_866_length_4155_cov_7.170976,2
NODE_3240_length_1756_cov_2.182246,20
NODE_5230_length_1357_cov_2.598310,3
NODE_4066_length_1557_cov_2.167111,6
NODE_9029_length_1017_cov_1.702703,28
NODE_4239_length_1523_cov_2.472071,16
NODE_8851_length_1027_cov_2.129630,24
NODE_6093_length_1251_cov_2.268395,6
NODE_326_length_8351_cov_9.014224,29
NODE_8361_length_1060_cov_1.649751,28
NODE_1990_length_2340_cov_2.291904,20
NODE_2340_length_2126_cov_2.056012,20
NODE_3883_length_1599_cov_5.431347,19
NODE_8952_length_1021_cov_2.383023,11
NODE_5972_length_1264_cov_2.944582,11
NODE_6824_length_1178_cov_2.396260,14
NODE_170_length_14940_cov_8.065032,29
NODE_8498_length_1050_cov_1.944724,20
NODE_8309_length_1063_cov_2.256944,2
NODE_5580_length_1314_cov_1.536140,3
NODE_7290_length_1139_cov_1.329336,20
NODE_1092_length_3476_cov_3.703595,21
NODE_1626_length_2663_cov_2.863497,3
NODE_626_length_5197_cov_15.832361,2
NODE_4089_length_1552_cov_2.232465,16
NODE_2549_length_2012_cov_4.057741,30
NODE_2654_length_1964_cov_2.587218,16
NODE_5663_length_1302_cov_2.559743,16
NODE_4347_length_1503_cov_2.720994,21
NODE_2982_length_1838_cov_3.753786,3
NODE_4161_length_1539_cov_2.559299,20
NODE_1312_length_3085_cov_4.045545,30
NODE_2934_length_1855_cov_2.222778,6
NODE_2035_length_2317_cov_2.346154,20
NODE_7945_length_1087_cov_1.224806,3
NODE_5229_length_1358_cov_1.908672,28
NODE_3000_length_1831_cov_1.914414,28
NODE_7709_length_1106_cov_1.488107,28
NODE_1306_length_3097_cov_3.630506,11
NODE_1342_length_3045_cov_3.012040,7
NODE_6382_length_1220_cov_1.686695,6
NODE_7944_length_1087_cov_1.257752,24
NODE_2023_length_2324_cov_1.594094,28
NODE_122_length_19760_cov_16.942147,22
NODE_362_length_7714_cov_3.383340,2
NODE_7162_length_1148_cov_2.873742,9
NODE_5570_length_1315_cov_1.538889,24
NODE_4100_length_1549_cov_2.317269,20
NODE_276_length_9676_cov_3.556179,7
NODE_8863_length_1027_cov_1.212963,28
NODE_6748_length_1186_cov_1.621574,6
NODE_8097_length_1078_cov_1.702835,28
NODE_2447_length_2066_cov_2.349577,7
NODE_1262_length_3156_cov_2.333118,9
NODE_2740_length_1932_cov_21.858817,2
NODE_4173_length_1536_cov_3.291020,2
NODE_6516_length_1208_cov_1.568083,28
NODE_1162_length_3328_cov_2.441491,7
NODE_4623_length_1455_cov_3.398571,28
NODE_1156_length_3348_cov_2.947161,11
NODE_9203_length_1006_cov_2.370137,28
NODE_1691_length_2591_cov_2.774448,7
NODE_1164_length_3323_cov_3.156977,30
NODE_5396_length_1335_cov_2.693750,3
NODE_4354_length_1502_cov_1.971666,20
NODE_4378_length_1498_cov_1.567568,28
NODE_6437_length_1215_cov_3.237069,28
NODE_3084_length_1807_cov_1.857306,7
NODE_8113_length_1077_cov_1.757339,6
NODE_6660_length_1194_cov_1.680421,20
NODE_5899_length_1273_cov_3.394089,7
NODE_3176_length_1778_cov_3.048752,7
NODE_5908_length_1272_cov_1.815119,20
NODE_9109_length_1012_cov_2.052247,6
NODE_4119_length_1546_cov_2.869215,11
NODE_1955_length_2363_cov_8.990468,27
NODE_7576_length_1116_cov_1.726673,28
NODE_7378_length_1131_cov_1.620818,28
NODE_8673_length_1038_cov_2.123093,20
NODE_4517_length_1471_cov_2.259181,6
NODE_3760_length_1626_cov_3.682368,2
NODE_9247_length_1004_cov_2.792413,11
NODE_927_length_3945_cov_3.473265,21
NODE_2622_length_1979_cov_2.381497,6
NODE_7489_length_1123_cov_1.558989,24
NODE_6330_length_1225_cov_2.897436,3
NODE_5819_length_1283_cov_1.550489,28
NODE_439_length_6593_cov_3.913123,30
NODE_8880_length_1025_cov_3.279381,21
NODE_6025_length_1257_cov_2.966722,6
NODE_5603_length_1309_cov_2.568581,28
NODE_5430_length_1331_cov_2.149687,20
NODE_8428_length_1055_cov_1.930000,20
NODE_2656_length_1963_cov_3.664046,11
NODE_2672_length_1958_cov_9.861797,3
NODE_3081_length_1807_cov_2.487443,28
NODE_5828_length_1282_cov_1.469438,28
NODE_8273_length_1065_cov_2.426733,20
NODE_8881_length_1025_cov_2.917526,11
NODE_8694_length_1037_cov_1.867617,7
NODE_7371_length_1131_cov_3.204461,11
NODE_9097_length_1013_cov_1.389353,31
NODE_6947_length_1166_cov_4.587759,2
NODE_6439_length_1215_cov_2.534483,6
NODE_2598_length_1989_cov_2.419855,0
NODE_879_length_4112_cov_3.584422,27
NODE_4989_length_1393_cov_2.490284,7
NODE_5669_length_1301_cov_2.840289,7
NODE_6620_length_1198_cov_2.321085,20
NODE_4298_length_1513_cov_1.693416,24
NODE_8316_length_1063_cov_1.735119,20
NODE_6583_length_1201_cov_9.159686,2
NODE_8359_length_1060_cov_1.832836,6
NODE_572_length_5502_cov_4.415642,21
NODE_7514_length_1120_cov_2.075117,6
NODE_7239_length_1143_cov_2.130515,20
NODE_5821_length_1282_cov_2.731866,16
NODE_8044_length_1081_cov_1.874269,11
NODE_7203_length_1146_cov_1.321723,28
NODE_5771_length_1287_cov_1.952110,20
NODE_1676_length_2603_cov_2.800628,6
NODE_2637_length_1973_cov_1.562565,20
NODE_7157_length_1149_cov_1.827239,20
NODE_8547_length_1047_cov_1.546371,28
NODE_4323_length_1507_cov_2.061295,20
NODE_8980_length_1020_cov_1.242487,28
NODE_2809_length_1905_cov_2.057838,3
NODE_630_length_5152_cov_5.640180,27
NODE_9137_length_1010_cov_2.077487,28
NODE_3762_length_1626_cov_2.194780,21
NODE_2048_length_2310_cov_3.434590,16
NODE_8317_length_1063_cov_1.726190,20
NODE_800_length_4411_cov_10.012626,31
NODE_4653_length_1451_cov_4.464183,7
NODE_7217_length_1145_cov_1.634862,28
NODE_1916_length_2393_cov_2.458939,6
NODE_7102_length_1154_cov_1.308462,11
NODE_414_length_6924_cov_2.616975,3
NODE_1504_length_2805_cov_3.771636,30
NODE_1025_length_3669_cov_3.350581,30
NODE_5929_length_1269_cov_1.969522,20
NODE_2655_length_1964_cov_1.649031,20
NODE_4152_length_1541_cov_2.881561,2
NODE_2704_length_1945_cov_2.579365,3
NODE_8294_length_1064_cov_1.894945,21
NODE_5623_length_1308_cov_1.748603,28
NODE_4019_length_1566_cov_2.712111,16
NODE_4996_length_1392_cov_1.787584,28
NODE_6091_length_1251_cov_2.480769,3
NODE_814_length_4355_cov_2.488605,3
